espn_adp_rank,name,position,team,espn_live_adp,espn_ppr_rank,espn_standard_rank,espn_ppr_auction_value,percent_owned,espn_player_id,source,snapshot_date
77,Marvin Harrison Jr.,WR,ARI,90.9,74,74,7,87.2,4432708,espn,2026-08-19
78,Caleb Williams,QB,CHI,92.2,104,104,3,88.2,4431611,espn,2026-08-19
79,Broncos D/ST,D/ST,DEN,94.6,225,225,0,98.4,-16007,espn,2026-08-19
80,Mike Evans,WR,SF,94.7,87,75,5,86.5,16737,espn,2026-08-19
81,Trevor Lawrence,QB,JAX,94.9,93,93,4,86.1,4360310,espn,2026-08-19
82,Tucker Kraft,TE,GB,97.2,124,124,2,86.4,4572680,espn,2026-08-19
83,Alec Pierce,WR,IND,98.6,77,76,6,83.8,4360078,espn,2026-08-19
84,Rhamondre Stevenson,RB,NE,99.0,70,70,7,83.0,4569173,espn,2026-08-19
85,Parker Washington,WR,JAX,99.6,76,87,6,83.1,4432620,espn,2026-08-19
86,George Kittle,TE,SF,99.7,125,125,2,87.6,3040151,espn,2026-08-19
87,Travis Kelce,TE,KC,100.2,127,127,2,87.2,15847,espn,2026-08-19
88,Tony Pollard,RB,TEN,100.4,119,118,2,85.2,3916148,espn,2026-08-19
89,Dallas Goedert,TE,PHI,100.9,126,126,2,87.6,3121023,espn,2026-08-19
90,Rams D/ST,D/ST,LAR,101.1,229,229,0,94.8,-16014,espn,2026-08-19
91,Christian Watson,WR,GB,101.3,88,77,5,84.0,4248528,espn,2026-08-19
92,Jaylen Warren,RB,PIT,103.3,117,119,3,84.5,4569987,espn,2026-08-19
93,Brock Purdy,QB,SF,104.8,99,99,4,83.5,4361741,espn,2026-08-19
94,Cameron Dicker,K,LAC,105.1,241,241,0,99.2,4362081,espn,2026-08-19
95,Brian Thomas Jr.,WR,JAX,106.5,91,89,4,83.0,4432773,espn,2026-08-19
96,Michael Wilson,WR,ARI,106.9,90,91,4,82.1,4360761,espn,2026-08-19
97,Matthew Golden,WR,GB,107.1,89,90,4,81.9,4701936,espn,2026-08-19
98,Seahawks D/ST,D/ST,SEA,107.5,228,228,0,97.2,-16026,espn,2026-08-19
99,Justin Herbert,QB,LAC,109.0,112,112,3,85.8,4038941,espn,2026-08-19
100,Rico Dowdle,RB,PIT,109.1,118,117,2,83.6,4038815,espn,2026-08-19
101,Patrick Mahomes,QB,KC,109.3,114,114,3,84.2,3139477,espn,2026-08-19
102,Jake Ferguson,TE,DAL,112.5,134,135,2,84.5,4242355,espn,2026-08-19
103,Steelers D/ST,D/ST,PIT,115.1,227,227,0,94.5,-16023,espn,2026-08-19
104,Jakobi Meyers,WR,JAX,115.8,92,106,4,79.8,3916433,espn,2026-08-19
105,Jason Myers,K,SEA,116.0,242,242,0,97.4,2473037,espn,2026-08-19
106,Jordyn Tyson,WR,NO,116.7,198,198,1,76.0,4880281,espn,2026-08-19
107,Wan'Dale Robinson,WR,TEN,117.9,106,111,3,79.5,4569587,espn,2026-08-19
108,Chuba Hubbard,RB,CAR,118.3,122,129,2,82.1,4241416,espn,2026-08-19
109,Travis Hunter,WR,JAX,119.2,109,109,3,72.3,4685415,espn,2026-08-19
110,Jordan Addison,WR,MIN,121.6,107,92,3,77.6,4429205,espn,2026-08-19
111,Josh Downs,WR,IND,121.8,140,141,2,75.8,4688813,espn,2026-08-19
112,Kenny Gainwell,RB,TB,122.3,120,132,2,79.0,4371733,espn,2026-08-19
113,J.K. Dobbins,RB,DEN,122.7,129,121,2,79.1,4241985,espn,2026-08-19
114,Mark Andrews,TE,BAL,123.1,135,134,2,79.4,3116365,espn,2026-08-19
115,Jonathon Brooks,RB,CAR,125.3,121,120,2,75.0,4678008,espn,2026-08-19
116,Khalil Shakir,WR,BUF,127.1,108,140,3,72.4,4373678,espn,2026-08-19
117,Aaron Jones Sr.,RB,MIN,129.7,143,151,2,78.0,3042519,espn,2026-08-19
118,Isaiah Likely,TE,NYG,130.0,145,145,2,77.4,4361050,espn,2026-08-19
119,Harrison Mevis,K,LAR,130.3,243,243,0,92.0,4574716,espn,2026-08-19
120,Kyle Monangai,RB,CHI,130.5,131,131,2,76.0,4608686,espn,2026-08-19
121,Stefon Diggs,WR,WSH,131.0,154,155,1,66.2,2976212,espn,2026-08-19
122,Ravens D/ST,D/ST,BAL,131.7,230,230,0,86.3,-16033,espn,2026-08-19
123,Rachaad White,RB,WSH,132.7,133,150,2,74.7,4697815,espn,2026-08-19
124,Ka'imi Fairbairn,K,HOU,133.2,246,246,0,91.4,2971573,espn,2026-08-19
125,T.J. Hockenson,TE,MIN,133.6,138,207,2,70.1,4036133,espn,2026-08-19
126,Eagles D/ST,D/ST,PHI,134.8,232,232,0,84.7,-16021,espn,2026-08-19
127,Dalton Kincaid,TE,BUF,135.2,146,138,2,65.8,4385690,espn,2026-08-19
128,RJ Harvey,RB,DEN,135.7,152,175,1,75.0,4568490,espn,2026-08-19
129,Xavier Worthy,WR,KC,136.4,111,108,3,71.4,4683062,espn,2026-08-19
130,Jayden Reed,WR,GB,137.0,110,110,3,68.2,4362249,espn,2026-08-19
131,Deebo Samuel Sr.,WR,SF,137.1,141,139,2,66.6,3126486,espn,2026-08-19
132,Cam Little,K,JAX,137.3,251,251,0,86.7,4686361,espn,2026-08-19
133,Jacory Croskey-Merritt,RB,WSH,137.4,132,123,2,68.6,4575131,espn,2026-08-19
134,Makai Lemon,WR,PHI,138.0,156,154,1,76.1,4870795,espn,2026-08-19
135,Jared Goff,QB,DET,138.9,171,171,1,62.7,3046779,espn,2026-08-19
136,Blake Corum,RB,LAR,140.8,151,144,1,72.1,4429096,espn,2026-08-19
137,Kenyon Sadiq,TE,NYJ,140.9,147,147,2,68.4,5083315,espn,2026-08-19
138,Quentin Johnston,WR,LAC,141.6,139,107,2,70.4,4429025,espn,2026-08-19
139,Hunter Henry,TE,NE,143.0,148,146,2,57.9,3046439,espn,2026-08-19
140,Kyler Murray,QB,MIN,147.6,165,165,1,54.9,3917315,espn,2026-08-19
141,Harrison Butker,K,KC,147.6,249,249,0,74.3,3055899,espn,2026-08-19
142,Chris Godwin Jr.,WR,TB,147.7,158,158,1,68.7,3116165,espn,2026-08-19
143,Eddy Pineiro,K,SF,148.8,248,248,0,79.6,4034949,espn,2026-08-19
144,Baker Mayfield,QB,TB,148.9,192,192,1,46.8,3052587,espn,2026-08-19
145,Patriots D/ST,D/ST,NE,149.3,236,236,0,72.2,-16017,espn,2026-08-19
146,Jordan Mason,RB,MIN,149.5,150,133,2,53.8,4360569,espn,2026-08-19
147,KC Concepcion,WR,CLE,150.4,157,157,1,62.3,4870653,espn,2026-08-19
148,Lions D/ST,D/ST,DET,151.6,237,237,0,65.4,-16008,espn,2026-08-19
149,Woody Marks,RB,HOU,152.7,153,152,1,58.0,4429059,espn,2026-08-19
150,Romeo Doubs,WR,NE,153.2,159,159,1,58.6,4361432,espn,2026-08-19
151,Browns D/ST,D/ST,CLE,153.4,235,235,0,58.8,-16005,espn,2026-08-19
152,Zach Charbonnet,RB,SEA,154.4,175,153,1,56.9,4426385,espn,2026-08-19
153,Jake Bates,K,DET,155.1,252,252,0,70.2,4689936,espn,2026-08-19
154,Tyler Shough,QB,NO,155.7,167,167,1,40.9,4360689,espn,2026-08-19
155,Alvin Kamara,RB,NO,156.9,176,176,1,46.3,3054850,espn,2026-08-19
156,Rashid Shaheed,WR,SEA,158.8,164,164,1,37.6,4032473,espn,2026-08-19
157,Jordan Love,QB,GB,159.3,273,273,0,28.0,4036378,espn,2026-08-19
158,Daniel Jones,QB,IND,159.5,173,173,1,29.7,3917792,espn,2026-08-19
159,Isiah Pacheco,RB,DET,160.2,202,200,1,43.0,4361529,espn,2026-08-19
160,Jayden Higgins,WR,HOU,160.2,1569,1569,0,32.7,4877706,espn,2026-08-19
161,Jalen Coker,WR,CAR,161.2,163,163,1,36.8,4695883,espn,2026-08-19
162,De'Zhaun Stribling,WR,SF,161.5,160,160,1,25.1,4710714,espn,2026-08-19
163,Chris Boswell,K,PIT,162.4,338,338,0,38.2,17372,espn,2026-08-19
164,Sam Darnold,QB,SEA,162.5,280,280,0,19.1,3912547,espn,2026-08-19
165,Chiefs D/ST,D/ST,KC,163.0,238,238,0,34.6,-16012,espn,2026-08-19
166,Chargers D/ST,D/ST,LAC,163.3,239,239,0,47.2,-16024,espn,2026-08-19
167,Tyler Loop,K,BAL,163.7,255,255,0,49.1,4697745,espn,2026-08-19
168,Jerry Jeudy,WR,CLE,164.1,184,184,1,27.8,4241463,espn,2026-08-19
169,Juwan Johnson,TE,NO,164.2,210,262,1,26.3,3929645,espn,2026-08-19
170,Tyjae Spears,RB,TEN,165.5,177,181,1,32.9,4428557,espn,2026-08-19
171,C.J. Stroud,QB,HOU,166.1,276,276,0,17.1,4432577,espn,2026-08-19
172,Terrance Ferguson,TE,LAR,166.1,207,148,1,17.6,4570037,espn,2026-08-19
173,Will Reichard,K,MIN,166.2,259,259,0,29.7,4567104,espn,2026-08-19
174,Cowboys D/ST,D/ST,DAL,166.3,509,509,0,10.0,-16006,espn,2026-08-19
175,Brian Robinson Jr.,RB,ATL,166.4,181,179,1,17.3,4241474,espn,2026-08-19
176,Tyrone Tracy Jr.,RB,NYG,166.4,222,222,0,16.9,4360516,espn,2026-08-19
177,Denzel Boston,WR,CLE,166.6,183,183,1,18.8,4832800,espn,2026-08-19
178,Ja'Kobi Lane,WR,BAL,166.6,270,270,0,14.6,4870847,espn,2026-08-19
179,Fernando Mendoza,QB,LV,166.7,383,383,0,11.9,4837248,espn,2026-08-19
180,Malik Willis,QB,MIA,166.9,195,195,1,14.9,4242512,espn,2026-08-19
181,Chris Rodriguez Jr.,RB,JAX,167.3,180,177,1,17.5,4362619,espn,2026-08-19
182,Cairo Santos,K,CHI,167.4,256,256,0,32.0,17427,espn,2026-08-19
183,Jaguars D/ST,D/ST,JAX,167.4,359,359,0,52.5,-16030,espn,2026-08-19
184,Brenton Strange,TE,JAX,167.8,263,210,0,15.8,4430539,espn,2026-08-19
185,Dalton Schultz,TE,HOU,167.9,297,297,0,13.4,3117256,espn,2026-08-19
186,Calvin Ridley,WR,TEN,167.9,189,189,1,20.2,3925357,espn,2026-08-19
187,Jalen McMillan,WR,TB,168.0,188,188,1,18.3,4430834,espn,2026-08-19
188,Packers D/ST,D/ST,GB,168.2,337,337,0,14.8,-16009,espn,2026-08-19
189,Tre Tucker,WR,LV,168.3,199,199,1,17.2,4428718,espn,2026-08-19
190,Tank Bigsby,RB,PHI,168.4,205,205,1,15.3,4429013,espn,2026-08-19
191,Vikings D/ST,D/ST,MIN,168.5,427,427,0,19.2,-16016,espn,2026-08-19
192,49ers D/ST,D/ST,SF,168.6,424,424,0,7.3,-16025,espn,2026-08-19
193,Cam Ward,QB,TEN,168.6,315,315,0,10.2,4688380,espn,2026-08-19
194,Tyler Allgeier,RB,ARI,168.6,182,182,1,19.4,4373626,espn,2026-08-19
195,Jake Elliott,K,PHI,168.7,411,411,0,8.2,3050478,espn,2026-08-19
196,Trey Smack,K,GB,168.7,410,410,0,6.8,4869461,espn,2026-08-19
197,Evan McPherson,K,CIN,168.8,363,363,0,14.4,4360234,espn,2026-08-19
198,Tank Dell,WR,HOU,168.8,162,162,1,17.6,4366031,espn,2026-08-19
199,Bryce Young,QB,CAR,168.8,313,313,0,8.3,4685720,espn,2026-08-19
200,Bills D/ST,D/ST,BUF,168.8,517,517,0,4.8,-16002,espn,2026-08-19
201,Pat Freiermuth,TE,PIT,168.8,296,296,0,10.9,4361411,espn,2026-08-19
202,Cooper Kupp,WR,SEA,168.9,322,322,0,9.6,2977187,espn,2026-08-19
203,Bears D/ST,D/ST,CHI,169.0,409,409,0,10.2,-16003,espn,2026-08-19
204,AJ Barner,TE,SEA,169.1,312,312,0,6.3,4576297,espn,2026-08-19
205,Aaron Rodgers,QB,PIT,169.1,385,385,0,5.4,8439,espn,2026-08-19
206,Odell Beckham Jr.,WR,NYG,169.2,1104,1104,0,3.1,16733,espn,2026-08-19
207,Chase McLaughlin,K,TB,169.3,339,339,0,16.0,3150744,espn,2026-08-19
208,Giants D/ST,D/ST,NYG,169.4,505,505,0,3.0,-16019,espn,2026-08-19
209,Matt Gay,K,LV,169.4,497,497,0,1.4,4249087,espn,2026-08-19
210,Darnell Washington,TE,PIT,169.4,445,445,0,1.8,4430802,espn,2026-08-19
211,Dolphins D/ST,D/ST,MIA,169.4,519,519,0,0.9,-16015,espn,2026-08-19
212,Justin Tucker,K,FA,169.5,1933,1936,0,0.6,15683,espn,2026-08-19
213,Chig Okonkwo,TE,WSH,169.5,311,310,0,8.3,4360635,espn,2026-08-19
214,Shedeur Sanders,QB,CLE,169.5,429,429,0,2.5,4432762,espn,2026-08-19
215,Tyler Bass,K,BUF,169.5,490,490,0,3.6,3917232,espn,2026-08-19
216,Cyrus Allen,WR,KC,169.6,999,999,0,4.5,4912218,espn,2026-08-19
217,J.J. McCarthy,QB,MIN,169.6,448,448,0,1.2,4433970,espn,2026-08-19
218,Philip Rivers,QB,IND,169.6,2557,1947,0,0.4,5529,espn,2026-08-19
219,Buccaneers D/ST,D/ST,TB,169.6,336,336,0,9.9,-16027,espn,2026-08-19
220,Keenan Allen,WR,IND,169.6,213,213,0,10.0,15818,espn,2026-08-19
221,Commanders D/ST,D/ST,WSH,169.6,513,513,0,1.2,-16028,espn,2026-08-19
222,Wil Lutz,K,DEN,169.7,489,489,0,4.8,2985659,espn,2026-08-19
223,Younghoe Koo,K,FA,169.7,1919,1922,0,0.3,3049899,espn,2026-08-19
224,Raiders D/ST,D/ST,LV,169.7,516,516,0,1.8,-16013,espn,2026-08-19
225,Cole Kmet,TE,CHI,169.7,466,466,0,0.8,4258595,espn,2026-08-19
226,Ben Sauls,K,NYG,169.7,2565,2581,0,0.3,4566158,espn,2026-08-19
227,David Njoku,TE,LAC,169.7,413,412,0,4.1,3123076,espn,2026-08-19
228,Caleb Douglas,WR,MIA,169.7,190,190,1,5.9,4869645,espn,2026-08-19
229,Panthers D/ST,D/ST,CAR,169.7,511,511,0,1.5,-16029,espn,2026-08-19
230,Cardinals D/ST,D/ST,ARI,169.7,518,518,0,0.5,-16022,espn,2026-08-19
231,Lil'Jordan Humphrey,WR,DEN,169.7,1395,1395,0,0.2,4039057,espn,2026-08-19
232,Dawson Knox,TE,BUF,169.7,459,460,0,0.9,3930086,espn,2026-08-19
233,Ryan Fitzgerald,K,CAR,169.7,498,498,0,0.7,4568263,espn,2026-08-19
234,Mike Washington Jr.,RB,LV,169.8,221,221,0,9.6,4686658,espn,2026-08-19
235,Bengals D/ST,D/ST,CIN,169.8,408,408,0,2.9,-16004,espn,2026-08-19
236,Carson Beck,QB,ARI,169.8,451,451,0,1.4,4430841,espn,2026-08-19
237,Tyreek Hill,WR,FA,169.8,1900,1900,0,6.5,3116406,espn,2026-08-19
238,Dominic Zvada,K,NYG,169.8,491,491,0,1.1,5082424,espn,2026-08-19
239,Jason Sanders,K,NYJ,169.8,504,504,0,0.9,3124679,espn,2026-08-19
240,Jake Moody,K,FA,169.8,2206,2211,0,0.7,4372066,espn,2026-08-19
241,Drew Allar,QB,PIT,169.8,1235,1235,0,0.5,4714771,espn,2026-08-19
242,Andre Szmyt,K,CLE,169.8,503,503,0,0.5,4258620,espn,2026-08-19
243,Keaton Mitchell,RB,LAC,169.8,200,202,1,9.7,4596334,espn,2026-08-19
244,Tyler Higbee,TE,LAR,169.8,470,470,0,0.5,2573401,espn,2026-08-19
245,Joey Slye,K,TEN,169.8,500,500,0,0.5,3124084,espn,2026-08-19
246,Spencer Shrader,K,IND,169.9,2481,2477,0,0.2,4571557,espn,2026-08-19
247,Malachi Fields,WR,NYG,169.9,406,406,0,1.9,4682648,espn,2026-08-19
248,Chad Ryland,K,ARI,169.9,502,502,0,0.4,4363538,espn,2026-08-19
249,Caden Davis,K,FA,169.9,2514,2516,0,0.1,4570688,espn,2026-08-19
250,Elijah Arroyo,TE,SEA,169.9,460,459,0,0.6,4678006,espn,2026-08-19
251,KaVontae Turpin,WR,DAL,169.9,370,370,0,1.1,3676833,espn,2026-08-19
252,Sal Cannella,TE,FA,169.9,2534,2580,0,0.1,4242536,espn,2026-08-19
253,Eli Stowers,TE,PHI,169.9,469,469,0,1.1,4431574,espn,2026-08-19
254,Justin Fields,QB,KC,169.9,452,452,0,0.6,4362887,espn,2026-08-19
255,Brock Wright,TE,DET,169.9,1144,1144,0,0.1,4242392,espn,2026-08-19
256,Kadarius Toney,WR,FA,169.9,2048,2053,0,0.1,4240600,espn,2026-08-19
257,JuJu Smith-Schuster,WR,FA,169.9,1905,1905,0,0.2,3120348,espn,2026-08-19
258,Luke Schoonmaker,TE,DAL,169.9,1076,1076,0,0.2,4372096,espn,2026-08-19
259,Ezekiel Elliott,RB,FA,169.9,1915,1918,0,0.1,3051392,espn,2026-08-19
260,Riley Patterson,K,MIA,169.9,496,496,0,0.3,4243371,espn,2026-08-19
261,Titans D/ST,D/ST,TEN,169.9,506,506,0,4.8,-16010,espn,2026-08-19
262,Noah Gray,TE,KC,169.9,468,468,0,0.3,4240472,espn,2026-08-19
263,Nick Chubb,RB,FA,169.9,1902,1902,0,0.3,3128720,espn,2026-08-19
264,Israel Abanikanda,RB,DAL,169.9,1491,1492,0,0.1,4429202,espn,2026-08-19
265,Jermar Jefferson,RB,MIN,169.9,1424,1425,0,0.1,4374033,espn,2026-08-19
266,Kirk Cousins,QB,LV,169.9,430,430,0,2.0,14880,espn,2026-08-19
267,Tommy DeVito,QB,NE,169.9,483,483,0,0.2,4240391,espn,2026-08-19
268,Joe Flacco,QB,CIN,169.9,454,454,0,0.4,11252,espn,2026-08-19
269,Luke McCaffrey,WR,WSH,169.9,1146,1146,0,0.4,4426948,espn,2026-08-19
270,Kyle Juszczyk,RB,SF,169.9,994,994,0,0.6,16002,espn,2026-08-19
271,Ty Simpson,QB,LAR,169.9,476,476,0,0.6,4685522,espn,2026-08-19
272,Brandon McManus,K,FA,169.9,1937,1940,0,0.2,16339,espn,2026-08-19
273,Kaden Wetjen,WR,PIT,169.9,1322,1322,0,0.2,5081338,espn,2026-08-19
274,Jameis Winston,QB,NYG,169.9,477,477,0,0.4,2969939,espn,2026-08-19
275,Jude McAtamney,K,FA,169.9,2480,2479,0,0.1,5092436,espn,2026-08-19
276,Mack Hollins,WR,NE,169.9,1075,1075,0,0.3,2991662,espn,2026-08-19
277,Cade Klubnik,QB,NYJ,169.9,1275,1275,0,0.2,4685413,espn,2026-08-19
278,Zavion Thomas,WR,CHI,169.9,1029,1029,0,0.3,4869748,espn,2026-08-19
279,Roman Wilson,WR,PIT,169.9,1069,1069,0,0.3,4431492,espn,2026-08-19
280,Adonai Mitchell,WR,NYJ,169.9,191,191,1,9.7,4597500,espn,2026-08-19
281,Kalif Raymond,WR,CHI,169.9,980,980,0,0.2,2973405,espn,2026-08-19
282,Josh Oliver,TE,MIN,169.9,1020,1020,0,0.1,3921690,espn,2026-08-19
283,Will Howard,QB,PIT,169.9,1592,1592,0,0.2,4429955,espn,2026-08-19
284,Jordan Whittington,WR,LAR,169.9,1049,1049,0,0.2,4569382,espn,2026-08-19
285,Luke Musgrave,TE,GB,169.9,1163,1163,0,0.2,4428085,espn,2026-08-19
286,Joe Milton III,QB,DAL,169.9,1540,1541,0,0.2,4360698,espn,2026-08-19
287,Ricky Pearsall,WR,SF,169.9,1524,1525,0,20.0,4428209,espn,2026-08-19
288,Russell Wilson,QB,FA,169.9,1942,1945,0,0.1,14881,espn,2026-08-19
289,Joshua Palmer,WR,BUF,169.9,997,997,0,0.2,4242433,espn,2026-08-19
290,John Samuel Shenker,TE,FA,169.9,2476,2483,0,0.1,4242526,espn,2026-08-19
291,Jahdae Walker,WR,CHI,169.9,1255,1255,0,0.2,5160110,espn,2026-08-19
292,Joshua Dobbs,QB,DET,169.9,1257,1257,0,0.1,3044720,espn,2026-08-19
293,Trey Benson,RB,ARI,169.9,1525,1526,0,0.5,4429275,espn,2026-08-19
294,Skyler Bell,WR,BUF,169.9,1073,1073,0,0.6,4683153,espn,2026-08-19
295,Stetson Bennett IV,QB,LAR,169.9,1485,1486,0,0.1,4259553,espn,2026-08-19
296,Ja'Tavion Sanders,TE,CAR,169.9,467,467,0,0.4,4431588,espn,2026-08-19
297,Hollywood Brown,WR,PHI,169.9,1040,1040,0,0.7,4241372,espn,2026-08-19
298,Mac Jones,QB,SF,169.9,455,455,0,0.3,4241464,espn,2026-08-19
299,Jake Bobo,WR,SEA,169.9,1513,1514,0,0.1,4360405,espn,2026-08-19
300,Adam Trautman,TE,DEN,169.9,1070,1070,0,0.1,3911853,espn,2026-08-19
