question_id,priority_id,entity_or_unit,preseason_hypothesis,confirming_evidence,disconfirming_evidence,baseline_confidence,fantasy_formats,review_trigger,status,last_updated
mia-2026-def-q21,6,Pressure timing,Miami will preserve Hafley's Green Bay pattern of low early-down and high late-down blitz rates,"early-down pass blitz rate remains below league average while third/fourth-down rate rises materially","blitz rate is flat by down or Miami relies on frequent early-down pressure",medium,"general;player_props",after 100 opponent pass plays split by down,open,2026-08-05
mia-2026-def-q22,7,Safety disguise,Miami will use meaningful pre-to-post-snap safety disguise without an excessive communication cost,"repeated shell rotation and changed post-snap pictures with few coverage busts","static shells dominate or disguise produces recurring assignment errors",medium,"general;idp;player_props",first four regular-season games,open,2026-08-05
mia-2026-def-q23,7,Linebacker packages,Miami will use Brooks Dodson and Rodriguez together in selected base or pressure packages,"all three share the field in recurring opponent-specific packages","Miami almost exclusively uses one or two off-ball linebackers",medium,"general;idp",each preseason game and first four regular-season games,open,2026-08-05
mia-2026-def-q24,5,Deep-pass prevention,Miami will face a below-average rate of attempts traveling at least 20 yards downfield,"deep-attempt share remains below league average across representative opponents","offenses repeatedly attack the secondary deep or communication errors invite explosives",low,"general;best_ball;player_props",after 100 opponent pass attempts,open,2026-08-05
mia-2026-def-q25,5,Josh Uche,Uche will remain a concentrated passing-down specialist rather than an every-down edge,"majority of snaps occur in expected-pass situations with strong rush opportunity but limited early-down work","Uche earns a broad early-down role or loses recurring pass-rush work",medium,"general;idp;player_props",each preseason game and after 50 opponent dropbacks,open,2026-08-05
mia-2026-def-q26,7,Edge rotation,Miami's Uche-Ferrell substitutions will not become a reliable run-pass tendency tell,"both players appear in mixed situations and offense does not exploit personnel changes","opponents repeatedly run at light packages or use play action against the early-down group",medium,"general;player_props",each preseason game and first four regular-season games,open,2026-08-05
mia-2026-def-q27,6,David Ojabo,Ojabo will earn a recurring passing-down package through availability and a functional counter move,"stacks practices and games; wins after first move is stopped; receives repeat third-down snaps","misses recurring work or remains behind Uche Moore and other reserves",low,"general;idp",each preseason game and Weeks 1 and 4,open,2026-08-05
mia-2026-def-q28,5,Kenneth Grant,Grant will create enough interior passing-down disruption to improve edge isolation,"pushes pocket; occupies center-guard help; creates one-on-ones for Sieler or an edge","comes off field in pass situations or produces little displacement",low,"general;idp;player_props",each preseason game and after 50 opponent dropbacks,open,2026-08-05
mia-2026-def-q29,7,Rush-lane integrity,Miami's four-man pressure will preserve disciplined lanes against mobile quarterbacks,"pressure compresses the pocket with below-average damaging escape frequency","edge rushers climb past the quarterback or interior games open repeated scramble lanes",medium,"general;player_props",first preseason mobile-quarterback sample and each relevant regular-season game,open,2026-08-05
mia-2026-def-q30,5,Opponent adjustment,Miami's four-man pressure will persist after opponents slide chip and use quick game against Robinson,"opposite edge and interior win after protection shifts; pressure remains timely after adjustment","pressure rate and time to throw deteriorate once Robinson receives help",low,"general;best_ball;player_props",after 100 opponent dropbacks and each major protection adjustment,open,2026-08-05
mia-2026-def-q31,5,Chris Johnson deployment,Johnson will align outside on balanced downs and move to nickel in selected expected-pass situations,"outside work in base or balanced personnel followed by repeat slot work on second-and-long third down or two-minute snaps","Johnson remains at one alignment or moves without a down-and-package pattern",medium,"general;idp;player_props",each preseason game and first two regular-season games,open,2026-08-05
mia-2026-def-q32,5,Chris Johnson technique,Johnson's college zone strength will transfer more quickly than isolated NFL press-man performance,"low target efficiency and decisive breaks in zone while press reps show greater early variance","press man is immediately equal or better or zone processing creates recurring errors",medium,"general;idp;player_props",after 25 chartable targets split by coverage family,open,2026-08-05
mia-2026-def-q33,5,Chris Johnson vertical defense,Opponents will test Johnson vertically and at the high point early in the season,"above-average early go fade back-shoulder and contested target share","opponents avoid vertical targets or primarily attack him underneath",low,"general;best_ball;player_props",each preseason game and first four regular-season games,open,2026-08-05
mia-2026-def-q34,5,Chris Johnson learning load,Johnson's outside-nickel cross-training will not create an excessive assignment-error rate,"alignment changes occur without repeated motion bunch switch or rotation errors","mental errors or delayed communication cluster after position changes",medium,"general;idp;player_props",each preseason game and first four regular-season games,open,2026-08-05
mia-2026-def-q35,5,Chris Johnson IDP role,Johnson's slot deployment will increase tackles and short targets without increasing explosive receptions,"slot snaps produce run fits short completions and tackles with controlled explosive rate","slot work produces low involvement or repeated seams fades and crossers for explosives",low,"idp;general;player_props",after 50 outside and 50 slot coverage snaps,open,2026-08-05
mia-2026-def-q36,5,JuJu Brents availability,Availability rather than coverage talent will be Brents's main constraint on winning and holding the opposite-boundary job,"first-unit quality appears viable when active but missed or limited practices and games interrupt continuity","Brents remains continuously available but loses the role through coverage performance",medium,"general;idp;player_props",each practice report preseason game and first four regular-season games,open,2026-08-05
mia-2026-def-q37,5,Darrell Baker Jr.,Baker will join the first-unit boundary competition after leaving PUP,"activation followed by increasing team reps and first-unit outside snaps","activation produces only reserve work or he remains unavailable through the preseason",low,"general;idp",immediately after PUP status change and each preseason game,open,2026-08-05
mia-2026-def-q38,5,Alex Austin,Austin will be Miami's first spot-start boundary replacement if the initial winner is unavailable,"second-unit lead role followed by first-unit substitution during absences","another corner consistently enters before Austin or Austin fails to make the active rotation",low,"general;idp",each preseason substitution and first regular-season corner absence,open,2026-08-05
mia-2026-def-q39,5,Opposite boundary target funnel,Opponents will direct materially more targets toward Miami's non-Johnson boundary corner,"target share and high-value route volume concentrate away from Johnson after controlling for alignment","targets remain balanced or offenses prefer Johnson's matchup",medium,"general;best_ball;player_props",after 75 boundary coverage targets,open,2026-08-05
mia-2026-def-q40,5,Boundary safety help,Miami will supply above-average top-down safety help to the opposite boundary until the position stabilizes,"repeated bracket cloud or rotation support favors the non-Johnson side","the second corner is routinely isolated or help tilts toward Johnson",low,"general;best_ball;player_props",first four regular-season games,open,2026-08-05
mia-2026-def-q41,7,Passing-down nickel,Chris Johnson will lead Miami in passing-down nickel snaps,"repeat slot deployment on second-and-long third down and two-minute snaps","Johnson remains outside while another defender owns the passing-down slot",medium,"general;idp;player_props",each preseason game and first four regular-season games,open,2026-08-05
mia-2026-def-q42,7,Nickel packages,Miami will use more than one nickel grouping during the first month,"different early-down big-nickel and expected-pass occupants recur by situation","one defender handles the location across all core situations",medium,"general;idp;player_props",each preseason game and first four regular-season games,open,2026-08-05
mia-2026-def-q43,5,Nickel-boundary tradeoff,Moving Chris Johnson inside will increase target pressure on Miami's two remaining outside corners,"boundary target share or explosive opportunities rise on Johnson's slot snaps","the outside pair remains stable and target results do not change with Johnson inside",medium,"general;best_ball;player_props",after 50 Johnson slot snaps and 50 Johnson outside snaps,open,2026-08-05
mia-2026-def-q44,7,Big nickel,A Miami safety will receive recurring early-down big-nickel work,"a safety repeatedly aligns over the slot or in the box against 11 personnel on balanced downs","Miami uses corners exclusively at nickel or safety work is isolated and opponent-specific",low,"general;idp",each preseason game and first four regular-season games,open,2026-08-05
mia-2026-def-q45,7,Nickel tendency,Miami's nickel substitutions will not become a reliable run-pass or coverage tendency tell,"multiple calls emerge from each grouping and offenses do not exploit substitution patterns","opponents repeatedly anticipate pressure coverage or run strength from the nickel occupant",medium,"general;player_props",each preseason game and first four regular-season games,open,2026-08-05
