evidence_id,observed_date,priority_id,entity_or_unit,evidence_type,observed_fact,source_id,source_url,independent_corroboration,confidence,fantasy_implication,status,last_verified
lac-2026-pre-ev-011,2026-08-16,9,Secondary,official_statement,"The live team depth chart listed Still and Donte Jackson at corner with James and Molden at safety; Genesis Smith appeared behind Jefferson at James' safety line.",local-source-los-angeles-chargers,https://www.chargers.com/team/depth-chart,no,high,"The returning starters are intact but the chart does not reveal nickel dime or James alignment.",active,2026-08-16
lac-2026-pre-ev-012,2026-08-16,10,Return units,official_statement,"The live team depth chart listed Derius Davis first at kick and punt returner with Mitchell second on kicks and Thompson second on punts.",local-source-los-angeles-chargers,https://www.chargers.com/team/depth-chart,no,high,"Davis retains the published return lead; Thompson's special-teams path is punt return rather than an established offensive role.",active,2026-08-16
lac-2026-pre-ev-013,2026-05-08,10,Undrafted rookie class,roster_status,"The Chargers signed 18 undrafted free agents after the draft.",local-source-los-angeles-chargers,https://www.chargers.com/news/sign-five-members-2026-draft-class-18-undrafted-free-agents-2026,no,high,"The class creates roster and special-teams competitions but initial signing does not establish survival or role.",active,2026-08-16
lac-2026-pre-ev-014,2026-05-13,10,Niles King and Jeremiah Wilson,roster_status,"The Chargers waived King and moved Wilson to Reserve/Injured after waiving him with an injury designation.",local-source-los-angeles-chargers,https://www.chargers.com/team/transactions/app,no,high,"Their statuses reduce the original 18-player class to 16 players still under team control.",active,2026-08-16
lac-2026-pre-ev-015,2026-08-13,10,Preseason opener,official_statement,"The Chargers defeated Houston 27-7 in the preseason opener.",local-source-nfl-gamebooks,https://www.nfl.com/games/chargers-at-texans-2026-pre-1,no,high,"The game creates chartable role evidence; the score alone should not move a player projection.",active,2026-08-16
lac-2026-pre-ev-016,2026-08-16,10,Isaiah World,roster_status,"The team roster listed World on Active/Non-Football Injury while the other 15 retained UDFAs were on the active camp roster.",local-source-los-angeles-chargers,https://www.chargers.com/team/players-roster/,no,high,"World is not part of the current practice competition while recovering from a January ACL tear.",active,2026-08-16
lac-2026-pre-ev-017,2026-08-13,1,Reserve offensive line,game_usage,"The opening offensive line against Houston was Travis Burke Branson Taylor Jake Slaughter Kayode Awosika and Logan Taylor from left to right; Slaughter played center on the first series and left guard for six more series.",local-writer-eric-smith,https://www.chargers.com/news/texans-preseason-takeaways-jake-slaughter-2026,no,high,"The game established cross-training and reserve order but did not test the projected starting five in front of Herbert.",active,2026-08-16
lac-2026-pre-ev-018,2026-08-13,1,Jake Slaughter,game_usage,"Slaughter appeared on seven of the Chargers' 10 offensive series across center and left guard; Harbaugh praised his assignment command and physicality after the game.",local-writer-eric-smith,https://www.chargers.com/news/texans-preseason-takeaways-jake-slaughter-2026,no,high,"The rookie strengthened his active-roster and interior-flexibility case but one reserve-unit game does not settle the starting left-guard competition.",active,2026-08-16
lac-2026-pre-ev-019,2026-08-13,1,Reserve offensive line,game_observation,"Harbaugh said the line protected well throughout the opener and generally blocked the correct defenders; the offense produced 379 yards and four drives of at least eight plays.",local-writer-eric-smith,https://www.chargers.com/news/texans-preseason-takeaways-jake-slaughter-2026,no,medium,"Positive depth and installation evidence; opponent quality and the absence of the projected starting five prevent a unit upgrade.",active,2026-08-16
lac-2026-pre-ev-020,2026-08-13,4,Complementary backfield,game_usage,"Los Angeles used Kimani Vidal Amar Johnson Jaret Patterson and Gregory Desrosiers; Desrosiers led with 10 carries while Johnson produced 17 rushing yards 68 receiving yards and two touchdowns.",local-writer-omar-navarro,https://www.chargers.com/news/standout-players-preseason-win-texans,yes,high,"Johnson created a stronger roster case but the reserve-only distribution did not establish the Mitchell-Vidal order behind Hampton.",active,2026-08-16
lac-2026-pre-ev-021,2026-08-13,5,KeAndre Lambert-Smith,game_usage,"Lambert-Smith caught four passes for 58 yards with every reception gaining a first down and also returned the opening kickoff for 28 yards.",local-writer-omar-navarro,https://www.chargers.com/news/standout-players-preseason-win-texans,yes,high,"He supplied meaningful depth and special-teams evidence but did not face the McConkey-Johnston-Harris first-unit route test.",active,2026-08-16
lac-2026-pre-ev-022,2026-08-13,2,McDaniel offense,game_observation,"With Herbert held out the reserve offense gained 379 yards recorded 23 first downs and ran six consecutive rushing plays on its first touchdown drive.",local-writer-eric-smith,https://www.chargers.com/news/texans-preseason-takeaways-jake-slaughter-2026,yes,medium,"The structure functioned with reserves and supports installation confidence; it does not answer Herbert's timing pressure or target-depth questions.",active,2026-08-16
lac-2026-pre-ev-023,2026-08-11,1,Rashawn Slater,availability,"Slater reported a minor knee flare-up after returning from a 2025 patellar-tendon repair and had missed four practices while the team managed his workload; he said the knee was strong and stable.",local-writer-eric-smith,https://www.chargers.com/news/rashawn-slater-knee-injury-rehab-2026,no,high,"The opening-five projection remains conditional on Slater's availability and ability to resume consecutive team work.",active,2026-08-16
lac-2026-pre-ev-024,2026-08-10,1,Left guard,reported_observation,"McDaniel said Awosika Slaughter Penning Pipkins and Branson Taylor had all worked at left guard and emphasized communication and collective execution as selection criteria.",local-writer-eric-smith,https://www.chargers.com/news/training-camp-report-left-guard-mike-mcdaniel-day-11,no,high,"The competition was broader than the unofficial depth chart implied; first-unit game reps remain decisive.",active,2026-08-16
lac-2026-pre-ev-025,2026-08-16,1,Offensive line,practice_observation,"Awosika and Slaughter shared left-guard reps; Chargers offensive linemen won 23 of 31 reported one-on-one reps and Biadasz had multiple successful full-team protection reps.",local-writer-eric-smith,https://www.chargers.com/news/training-camp-report-travis-burke-day-14,no,medium,"Awosika and Slaughter form the current leading pair at left guard but isolated practice wins cannot settle five-man protection quality.",active,2026-08-16
