signal_id,team_id,player_ids,observation_ids,synthesis_record_id,escalation_level,signal_type,summary,fantasy_implication,next_action,confidence,status,created_at,last_updated
sig-2026-atl-20260906-001,ATL,,obs-2026-atl-20260906t193157z-001;obs-2026-atl-20260906t193157z-002,ti-2026-atl-20260906-001,review,role,Healthy quarterback competition remains open,Apply the reconciled personnel baseline; measured workload and final game status remain separate tests.,Promote the corrected QB baseline and await the starter announcement.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-bal-20260906-001,BAL,,obs-2026-bal-20260906t193157z-001,ti-2026-bal-20260906-001,review,availability,"Flowers returned to practice, clearing an attendance checkpoint.",Preserve the Flowers target-lead premise while checking workload and designation; attendance alone does not prove unrestricted routes.,Flowers final Week 1 report and route participation.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-buf-20260906-001,BUF,,obs-2026-buf-20260906t193157z-001;obs-2026-buf-20260906t193157z-002,ti-2026-buf-20260906-001,review,availability,Buffalo has a confirmed interior-DL absence and an unresolved linebacker practice checkpoint.,Recheck Buffalo defensive availability before assessing Houston efficiency; do not infer a unit-wide downgrade from two names.,First Week 1 practice report and Bernard game status.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-car-20260906-002,CAR,,obs-2026-car-20260906t193157z-001,ti-2026-car-20260906-001,review,availability,Legette returned but receiver ordering is unresolved,Apply the reconciled personnel baseline; measured workload and final game status remain separate tests.,Close the old availability review and retain one narrower route-order follow-up.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-chi-20260906-001,CHI,,obs-2026-chi-20260906t193157z-001;obs-2026-chi-20260906t193157z-002,ti-2026-chi-20260906-001,review,availability,Monangai remained sidelined and Roschon Johnson received expanded work.,Preserve contingency value for Roschon without converting preseason opportunity into a guaranteed game-day split.,Monangai game status and the Swift/Roschon/Monangai high-value-touch allocation.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-cin-20260906-001,CIN,,obs-2026-cin-20260906t193157z-001;obs-2026-cin-20260906t193157z-002,ti-2026-cin-20260906-001,review,availability,Both primary receivers missed the September 3 work despite coach optimism.,Keep replacement plans for Chase and Higgins until official status; do not promote another receiver on an assumed absence.,Week 1 participation and game designations for Chase and Higgins.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-cle-20260906-001,CLE,,obs-2026-cle-20260906t193157z-001,ti-2026-cle-20260906-001,review,transaction,Receiver membership established after Tillman departure,"Roster confirmation settles membership, not workload or fantasy scoring.",Chart Boston and the remaining receiver routes.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-dal-20260906-001,DAL,,obs-2026-dal-20260906t193157z-001,ti-2026-dal-20260906-001,review,depth_chart,The newly acquired Jones will compete with Steele at right tackle.,Treat right tackle as unsettled; a trade and coach competition statement do not establish improved protection.,Named opening tackle and pressure/protection sample.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-jax-20260906-001,JAX,,obs-2026-jax-20260906t193157z-001,ti-2026-jax-20260906-001,review,availability,"Van Lanen is progressing, but the dated update is not final Week 1 clearance.",Keep the offensive-line health checkpoint open; do not upgrade protection from recovery comments alone.,"Full practice, opening tackle alignment and final status.",medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-lac-20260906-002,LAC,,obs-2026-lac-20260906t193157z-003;obs-2026-lac-20260906t193157z-004;obs-2026-lac-20260906t193157z-006,ti-2026-lac-20260906-001,review,role,Current line arrangement replaces stale center and reserve-cover assumptions,Guard allocation and line performance remain unmeasured.,Chart Awosika/Pipkins allocation and opening protection performance.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-lar-20260906-001,LAR,,obs-2026-lar-20260906t193157z-001;obs-2026-lar-20260906t193157z-002;obs-2026-lar-20260906t193157z-003,ti-2026-lar-20260906-001,review,availability,"Donald, Garrett and Ferguson had separate ramp or practice limitations in the August 31 report.",Treat the Australia personnel projection as conditional; a travel or recovery plan is not game clearance.,Final Week 1 designations and expected workloads for all three.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-mia-20260906-001,MIA,,obs-2026-mia-20260906t193157z-001;obs-2026-mia-20260906t193157z-002,ti-2026-mia-20260906-001,review,transaction,Receiver roster reset and Hunter practice-squad placement,"Roster confirmation settles membership, not workload or fantasy scoring.",Chart game-day receivers and routes; verify Bell participation and any Hunter elevation.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-min-20260906-001,MIN,,obs-2026-min-20260906t193157z-001,ti-2026-min-20260906-001,review,availability,Smith agreement changes safety replacement premise,Apply the reconciled personnel baseline; measured workload and final game status remain separate tests.,Promote the revised secondary baseline; verify game status and defensive package snaps.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-ne-20260906-001,NE,,obs-2026-ne-20260906t193157z-001;obs-2026-ne-20260906t193157z-002,ti-2026-ne-20260906-001,review,availability,Landry is unavailable to open the season; Henderson still required assessment in the September 5 coach briefing.,Prepare a Stevenson-heavy contingency if Henderson cannot play; no automatic workload upgrade while status remains unresolved.,Official Henderson participation and final designation before the September 9 opener.,medium,resolved,2026-09-06T20:07:25+00:00,2026-09-09T21:30:00+00:00
sig-2026-no-20260906-002,NO,,obs-2026-no-20260906t193157z-001;obs-2026-no-20260906t193157z-003,ti-2026-no-20260906-001,review,transaction,White released and Neal placed on IR,Apply the reconciled personnel baseline; measured workload and final game status remain separate tests.,Resolve the cutdown review and narrow active backfield candidates without inventing a split.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-no-20260906-003,NO,,obs-2026-no-20260906t193157z-004,ti-2026-no-20260906-001,review,role,Active receiver allocation remains unresolved,Apply the reconciled personnel baseline; measured workload and final game status remain separate tests.,Measure Week 1 Vele/Lance/Brown routes first reads and high-leverage targets.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-nyg-20260906-001,NYG,,obs-2026-nyg-20260906t193157z-001;obs-2026-nyg-20260906t193157z-002,ti-2026-nyg-20260906-001,review,depth_chart,Zvada confirmed as rostered kicking winner,"Roster confirmation settles membership, not workload or fantasy scoring.",Check final game-day kicker status; no unresolved competition assumed.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-nyj-20260906-001,NYJ,,obs-2026-nyj-20260906t193157z-001;obs-2026-nyj-20260906t193157z-002;obs-2026-nyj-20260906t193157z-003,ti-2026-nyj-20260906-001,review,availability,Hall readiness and Allen injury-cover reps require a Week 1 check; the kicker changed to Grupe.,"Allen practice work is injury cover, not proof he displaced Hall. Sanders is no longer the Jets kicking option.","Hall full participation, game status, healthy backfield split and active kicker.",medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-pit-20260906-001,PIT,,obs-2026-pit-20260906t193157z-001;obs-2026-pit-20260906t193157z-002,ti-2026-pit-20260906-001,review,transaction,The cutdown trades remove Kaleb Johnson from the projected committee and send Broderick Jones to Dallas.,Reframe Pittsburgh RB allocation around Warren and Dowdle without naming a bell cow; monitor tackle cover.,"Warren/Dowdle early-down, passing-down and goal-line split; starting protection group.",medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-sea-20260906-001,SEA,,obs-2026-sea-20260906t193157z-001,ti-2026-sea-20260906-001,review,role,Price debut expected with no preseason game usage,Apply the reconciled personnel baseline; measured workload and final game status remain separate tests.,Promote the Week 1 expectation; retain the unsettled backfield workload hypothesis.,medium,resolved,2026-09-06T20:07:25+00:00,2026-09-09T21:30:00+00:00
sig-2026-sf-20260906-001,SF,,obs-2026-sf-20260906t193157z-001;obs-2026-sf-20260906t193157z-002;obs-2026-sf-20260906t193157z-003,ti-2026-sf-20260906-001,review,availability,The club planned managed Kittle/Bosa work while left guard remained unsettled.,The plan updates the earlier Kittle concern but does not prove completed competitive work or a full route rate.,"Completed team work, final game designations and named opening left guard.",medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-ten-20260906-001,TEN,,obs-2026-ten-20260906t193157z-001;obs-2026-ten-20260906t193157z-002,ti-2026-ten-20260906-001,review,availability,Carmona received the opening RG job while Tate missed the observed stretching period.,The guard role is clearer; Tate status needs verification before treating expected routes as available.,Tate participation and Week 1 routes; Carmona first-game protection.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-ne-20260906-002,NE,,obs-2026-ne-20260906t210715z-001,ti-2026-ne-20260906-002,review,availability,Supplemental early-game readiness review,Retain conditional decisions pending the next checkpoint.,Official Henderson participation and final designation; then actual passing-down allocation.,medium,resolved,2026-09-06T21:17:18+00:00,2026-09-09T21:30:00+00:00
sig-2026-sf-20260906-002,SF,,obs-2026-sf-20260906t210715z-001;obs-2026-sf-20260906t210715z-002,ti-2026-sf-20260906-002,review,availability,Supplemental early-game readiness review,Retain conditional decisions pending the next checkpoint.,Kittle/Bosa completed team work and final status; opening left guard; Stribling routes.,medium,monitoring,2026-09-06T21:17:18+00:00,2026-09-06T21:17:18+00:00
sig-2026-lar-20260906-002,LAR,,obs-2026-lar-20260906t210715z-001;obs-2026-lar-20260906t210715z-002,ti-2026-lar-20260906-002,review,availability,Supplemental early-game readiness review,Retain conditional decisions pending the next checkpoint.,"Final designations and workload restrictions for Nacua, Donald, Garrett and Ferguson.",medium,monitoring,2026-09-06T21:17:18+00:00,2026-09-06T21:17:18+00:00
