team,abbr,season,metric_family,metric_name,rank_direction,rank,value,source_id,last_verified,interpretation,status,notes
Atlanta Falcons,ATL,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,28,0.465,nfl-ops-2026-sos,2026-08-17,easiest_cluster,active,"Tied with Indianapolis by opponent win percentage."
Indianapolis Colts,IND,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,28,0.465,nfl-ops-2026-sos,2026-08-17,easiest_cluster,active,"Tied with Atlanta by opponent win percentage."
Cincinnati Bengals,CIN,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,30,0.450,nfl-ops-2026-sos,2026-08-17,easiest_cluster,active,"Baseline real-football SOS; not position-specific."
New Orleans Saints,NO,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,31,0.434,nfl-ops-2026-sos,2026-08-17,easiest_cluster,active,"Baseline real-football SOS; not position-specific."
Cleveland Browns,CLE,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,32,0.429,nfl-ops-2026-sos,2026-08-17,easiest,active,"Baseline real-football SOS; not position-specific."
Detroit Lions,DET,2026,market_projection,projected_win_total_sos_rank,1=easiest,1,,sporting-news-2026-sos,2026-08-17,easiest,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
New Orleans Saints,NO,2026,market_projection,projected_win_total_sos_rank,1=easiest,2,,sporting-news-2026-sos,2026-08-17,easiest_cluster,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Cincinnati Bengals,CIN,2026,market_projection,projected_win_total_sos_rank,1=easiest,3,,sporting-news-2026-sos,2026-08-17,easiest_cluster,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Cleveland Browns,CLE,2026,market_projection,projected_win_total_sos_rank,1=easiest,4,,sporting-news-2026-sos,2026-08-17,easiest_cluster,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
New York Jets,NYJ,2026,market_projection,projected_win_total_sos_rank,1=easiest,5,,sporting-news-2026-sos,2026-08-17,easier,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Baltimore Ravens,BAL,2026,market_projection,projected_win_total_sos_rank,1=easiest,6,,sporting-news-2026-sos,2026-08-17,easier,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Philadelphia Eagles,PHI,2026,market_projection,projected_win_total_sos_rank,1=easiest,7,,sporting-news-2026-sos,2026-08-17,easier,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
San Francisco 49ers,SF,2026,market_projection,projected_win_total_sos_rank,1=easiest,8,,sporting-news-2026-sos,2026-08-17,easier,active,"Notably easier than prior-year win percentage suggests."
Indianapolis Colts,IND,2026,market_projection,projected_win_total_sos_rank,1=easiest,9,,sporting-news-2026-sos,2026-08-17,easier,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Kansas City Chiefs,KC,2026,market_projection,projected_win_total_sos_rank,1=easiest,10,,sporting-news-2026-sos,2026-08-17,easier,active,"Market projection differs materially from prior-year win percentage."
Denver Broncos,DEN,2026,market_projection,projected_win_total_sos_rank,1=easiest,11,,sporting-news-2026-sos,2026-08-17,easier,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
New England Patriots,NE,2026,market_projection,projected_win_total_sos_rank,1=easiest,12,,sporting-news-2026-sos,2026-08-17,easier,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Tennessee Titans,TEN,2026,market_projection,projected_win_total_sos_rank,1=easiest,13,,sporting-news-2026-sos,2026-08-17,near_average,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Buffalo Bills,BUF,2026,market_projection,projected_win_total_sos_rank,1=easiest,14,,sporting-news-2026-sos,2026-08-17,near_average,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Jacksonville Jaguars,JAX,2026,market_projection,projected_win_total_sos_rank,1=easiest,15,,sporting-news-2026-sos,2026-08-17,near_average,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Minnesota Vikings,MIN,2026,market_projection,projected_win_total_sos_rank,1=easiest,16,,sporting-news-2026-sos,2026-08-17,near_average,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Green Bay Packers,GB,2026,market_projection,projected_win_total_sos_rank,1=easiest,17,,sporting-news-2026-sos,2026-08-17,near_average,active,"Market projection is less severe than prior-year win percentage."
Pittsburgh Steelers,PIT,2026,market_projection,projected_win_total_sos_rank,1=easiest,18,,sporting-news-2026-sos,2026-08-17,near_average,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Las Vegas Raiders,LV,2026,market_projection,projected_win_total_sos_rank,1=easiest,19,,sporting-news-2026-sos,2026-08-17,near_average,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Atlanta Falcons,ATL,2026,market_projection,projected_win_total_sos_rank,1=easiest,20,,sporting-news-2026-sos,2026-08-17,near_average,active,"Market projection is less favorable than prior-year win percentage."
Los Angeles Chargers,LAC,2026,market_projection,projected_win_total_sos_rank,1=easiest,21,,sporting-news-2026-sos,2026-08-17,above_average_difficulty,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Seattle Seahawks,SEA,2026,market_projection,projected_win_total_sos_rank,1=easiest,22,,sporting-news-2026-sos,2026-08-17,above_average_difficulty,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Tampa Bay Buccaneers,TB,2026,market_projection,projected_win_total_sos_rank,1=easiest,23,,sporting-news-2026-sos,2026-08-17,above_average_difficulty,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
New York Giants,NYG,2026,market_projection,projected_win_total_sos_rank,1=easiest,24,,sporting-news-2026-sos,2026-08-17,tougher,active,"Market projection is tougher than prior-year win percentage."
Washington Commanders,WAS,2026,market_projection,projected_win_total_sos_rank,1=easiest,25,,sporting-news-2026-sos,2026-08-17,tougher,active,"Market projection is tougher than prior-year win percentage."
Houston Texans,HOU,2026,market_projection,projected_win_total_sos_rank,1=easiest,26,,sporting-news-2026-sos,2026-08-17,tougher,active,"Market projection is tougher than prior-year win percentage."
Chicago Bears,CHI,2026,market_projection,projected_win_total_sos_rank,1=easiest,27,,sporting-news-2026-sos,2026-08-17,tougher,active,"Still difficult by market projection, though not first."
Los Angeles Rams,LAR,2026,market_projection,projected_win_total_sos_rank,1=easiest,28,,sporting-news-2026-sos,2026-08-17,tougher,active,"Market projection is tougher than prior-year win percentage."
Dallas Cowboys,DAL,2026,market_projection,projected_win_total_sos_rank,1=easiest,29,,sporting-news-2026-sos,2026-08-17,toughest_cluster,active,"Market projection is tougher than prior-year win percentage."
Carolina Panthers,CAR,2026,market_projection,projected_win_total_sos_rank,1=easiest,30,,sporting-news-2026-sos,2026-08-17,toughest_cluster,active,"Sharp Football Analysis projected-win-total ranking as summarized by Sporting News."
Miami Dolphins,MIA,2026,market_projection,projected_win_total_sos_rank,1=easiest,31,,sporting-news-2026-sos,2026-08-17,toughest_cluster,active,"Hard by both prior-year win percentage and market projection."
Arizona Cardinals,ARI,2026,market_projection,projected_win_total_sos_rank,1=easiest,32,,sporting-news-2026-sos,2026-08-17,toughest,active,"Hard by both prior-year win percentage and market projection."
