watch_id,team,abbr,season,position,player_or_unit,action_label,priority,confidence,window,schedule_signal,role_filter,adp_or_cost_filter,next_evidence_needed,source_files,last_verified,status,notes
wl-2026-sos-sf-te-001,San Francisco 49ers,SF,2026,TE,49ers TE,draft_target,high,low,first_5_played_games,"Early TE SOS rank 3; market full-season SOS favorable; playoff SOS poor overall.","Most actionable if George Kittle is healthy and route rate remains strong.","Plan for late-season/playoff schedule if acquisition cost is high.","Health; route rate; ADP; playoff SOS by position if available.","early-season-sos.csv;overall-sos.csv;playoff-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Strong early TE angle with later playoff-window caution."
wl-2026-sos-cin-te-001,Cincinnati Bengals,CIN,2026,TE,Bengals TE,streamer,medium,low,first_5_played_games,"Early TE SOS rank 1.","Only useful if route share and red-zone role are confirmed.","Likely waiver/late-round angle unless a true every-down TE emerges.","Depth chart; routes with first-team offense; ADP.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Schedule creates a streaming path but role confidence is the issue."
wl-2026-sos-cle-te-001,Cleveland Browns,CLE,2026,TE,Browns TE,streamer,medium,low,first_5_played_games,"Early TE SOS rank 2 and favorable full-season TE SOS.","Only useful if quarterback play and route role are viable.","Better as late-round/streaming angle than core draft target until offense clarifies.","Depth chart; route participation; QB stability; ADP.","early-season-sos.csv;position-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Schedule is favorable, but offensive environment may cap upside."
wl-2026-sos-sea-te-001,Seattle Seahawks,SEA,2026,TE,Seahawks TE,streamer,low,low,first_5_played_games,"Early TE SOS rank 4.","Requires a single TE route leader; otherwise not actionable.","Waiver/streaming only unless role consolidates unexpectedly.","Route split; red-zone role; ADP.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Good schedule, uncertain route concentration."
wl-2026-sos-pit-dst-001,Pittsburgh Steelers,PIT,2026,DST,Steelers D/ST,draft_target,high,low,first_5_played_games,"Early DST SOS rank 3; full-season DST SOS favorable in Athlon top-five.","Actionable if defensive personnel health is intact.","Draftable if cost is not inflated beyond normal D/ST range.","Defensive injuries; ADP; Week 1-5 opponent QB status.","early-season-sos.csv;position-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Cleanest early D/ST hold candidate."
wl-2026-sos-det-dst-001,Detroit Lions,DET,2026,DST,Lions D/ST,draft_target,medium,low,first_5_played_games,"Early DST SOS rank 5 and favorable overall market SOS.","Actionable if pass rush/secondary health is intact.","Draftable/holdable if cost remains modest.","Defensive health; preseason pressure indicators; ADP.","early-season-sos.csv;overall-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Useful early D/ST target paired with favorable team schedule context."
wl-2026-sos-mia-dst-001,Miami Dolphins,MIA,2026,DST,Dolphins D/ST,streamer,medium,low,first_5_played_games,"Early DST SOS rank 1.","Streaming only unless defense shows clear top-tier form.","Prefer waiver/draft endgame price.","Pass-rush health; Week 1-5 opposing QB health; ADP.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Best early D/ST schedule but team full-season/playoff SOS is difficult."
wl-2026-sos-lv-dst-001,Las Vegas Raiders,LV,2026,DST,Raiders D/ST,streamer,medium,low,first_5_played_games,"Early DST SOS rank 2.","Streaming only; offensive team context can create negative game scripts.","Waiver/draft endgame only.","Defensive personnel health; Week 1-5 opponent QB status.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Early streaming schedule is good even though Raiders offensive positions have cold-start flags."
wl-2026-sos-no-dst-001,New Orleans Saints,NO,2026,DST,Saints D/ST,streamer,low,low,first_5_played_games,"Early DST SOS rank 4.","Streaming only; team-quality risk remains.","Waiver/draft endgame only.","Defensive form; opponent QB status; ADP.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Schedule-only D/ST stream candidate."
wl-2026-sos-mia-wr-001,Miami Dolphins,MIA,2026,WR,Dolphins WRs,buy_low_watch,high,low,first_5_played_games,"Early WR cold-start rank 3; hard broad SOS and poor playoff SOS also present.","Do not ignore elite target shares if early box scores disappoint.","Buy-low only if role/health remain strong and price drops.","Target share; explosive plays; injury status; market reaction after first month.","early-season-sos.csv;overall-sos.csv;playoff-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Schedule can create early drag; avoid overreacting if usage is intact."
wl-2026-sos-jax-wr-001,Jacksonville Jaguars,JAX,2026,WR,Jaguars WRs,buy_low_watch,medium,low,first_5_played_games,"Early WR cold-start rank 1 but playoff SOS is favorable overall.","Consider buy-low if routes/targets are strong through difficult early WR schedule.","Only if price falls and role quality is confirmed.","Route share; target share; offensive efficiency; post-Week-3/5 market price.","early-season-sos.csv;playoff-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Potential early-to-late schedule split creates trade angle."
wl-2026-sos-chi-wr-001,Chicago Bears,CHI,2026,WR,Bears WRs,avoid_early_panic,medium,low,first_5_played_games,"Early WR cold-start rank 2; QB and TE also cold-start risks.","Evaluate route/target usage before reacting to early efficiency.","Buy-low only if role is strong and offense is functional.","Route share; target share; QB play; offensive line health.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Schedule may suppress early box scores across the passing game."
wl-2026-sos-lac-pass-001,Los Angeles Chargers,LAC,2026,QB_WR,Chargers passing game,avoid_early_panic,medium,low,first_5_played_games,"Early QB cold-start rank 1 and WR cold-start rank 4.","Do not downgrade established usage solely for poor early schedule.","Buy-low only if price falls while attempts/routes remain healthy.","Pass attempts; target concentration; protection; post-Week-3 market price.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Early schedule can create false negatives."
wl-2026-sos-buf-rb-001,Buffalo Bills,BUF,2026,RB,Bills RBs,avoid_early_panic,medium,low,first_5_played_games,"Early RB cold-start rank 1.","Do not panic on poor efficiency if snaps/touches are strong.","Potential buy-low if workload is clear and production lags.","Snap share; high-value touches; goal-line usage; post-Week-3 price.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Schedule can obscure a good role."
wl-2026-sos-kc-rb-001,Kansas City Chiefs,KC,2026,RB,Chiefs RBs,avoid_early_panic,low,low,first_5_played_games,"Early RB cold-start rank 4; Week 5 bye means first five played games include Week 6.","Needs role clarity before buy-low stance matters.","Only actionable if one back clearly leads high-value touches.","Backfield split; goal-line usage; receiving role.","early-season-sos.csv;schedule-wrinkles.csv",2026-08-17,active,"Role uncertainty may matter more than schedule."
