adp_id,watch_id,team,abbr,season,player_or_unit,position,source_id,scoring_format,format,overall_adp,position_adp,overall_rank,position_rank,cost_tier,market_read,last_verified,status,notes
adp-2026-dal-ceedee-lamb-fta-001,wl-2026-sos-dal-pass-001,Dallas Cowboys,DAL,2026,CeeDee Lamb,WR,fta-2026-player-rankings,ppr,redraft_1qb,11.3,5,,,round_1,"Schedule is a tie-breaker only; not enough to justify reaching.",2026-08-17,active,"FTA player page lists FFC PPR ADP 11.3 and PPR position rank WR5."
adp-2026-dal-george-pickens-fsp-001,wl-2026-sos-dal-pass-001,Dallas Cowboys,DAL,2026,George Pickens,WR,fantasysp-2026-adp,unspecified,redraft_1qb,25,,,"WR10 area",round_3,"Pickens is cheaper than Lamb but still priced as a strong starter; schedule edge may be useful if target share is stable.",2026-08-17,active,"FantasySP comparable WR table lists George Pickens at avg pick 25."
adp-2026-dal-javonte-williams-fta-001,wl-2026-sos-dal-rb-001,Dallas Cowboys,DAL,2026,Javonte Williams,RB,fta-2026-player-rankings,half_ppr,redraft_1qb,39.8,17,40,17,round_4,"Early RB schedule plus lead-back role makes Williams an actionable target if playoff-format bye risk is priced in.",2026-08-17,active,"FTA page lists FantasyPros ADP 39.8 RB17 and consensus rank 36.2."
adp-2026-dal-javonte-williams-nfl-001,wl-2026-sos-dal-rb-001,Dallas Cowboys,DAL,2026,Javonte Williams,RB,nfl-fantasy-2026-rb-values,unspecified,redraft_1qb,,16,,16,round_4,"NFL.com value note says Williams sits around RB16 and Round 4 ADP; supports target flag at cost.",2026-08-17,active,"NFL.com calls Williams a Round 4 RB value with top-10 upside if receiving and touchdown luck improve."
adp-2026-det-jahmyr-gibbs-fp-001,wl-2026-sos-det-rb-001,Detroit Lions,DET,2026,Jahmyr Gibbs,RB,fantasypros-2026-adp,unspecified,redraft_1qb,1.5,1,,,round_1_pick_1_2,"Best early RB schedule but fully priced as elite overall pick.",2026-08-17,active,"FantasyPros overall ADP table lists Gibbs avg 1.5 RB1."
adp-2026-det-jahmyr-gibbs-beatadp-001,wl-2026-sos-det-rb-001,Detroit Lions,DET,2026,Jahmyr Gibbs,RB,beatadp-2026-platform,unspecified,redraft_1qb,2.0,,,"RB1 area",round_1_pick_1_2,"Schedule edge confirms premium pick rather than creating discount.",2026-08-17,active,"BeatADP table lists Gibbs consensus 2.0."
adp-2026-hou-nico-collins-fp-001,wl-2026-sos-hou-wr-001,Houston Texans,HOU,2026,Nico Collins,WR,fantasypros-2026-adp,unspecified,redraft_1qb,25,8,,,round_3,"Schedule supports target if price remains back-end WR1/front WR2 rather than top-15 overall.",2026-08-17,active,"FantasyPros player page lists overall ADP 25 and WR8."
adp-2026-hou-cj-stroud-fta-001,wl-2026-sos-hou-wr-001,Houston Texans,HOU,2026,C.J. Stroud,QB,fta-2026-player-rankings,half_ppr,redraft_1qb,146.9,22,140,22,late_round_qb,"Cheap QB cost supports stacking/late QB angle if early schedule and WR health align.",2026-08-17,active,"FTA page lists FantasyPros ADP 146.9 and QB22 ranking."
adp-2026-bal-lamar-jackson-fp-001,wl-2026-sos-bal-wr-001,Baltimore Ravens,BAL,2026,Lamar Jackson,QB,fantasypros-2026-adp,unspecified,redraft_1qb,33,2,,,round_3_4,"Early WR/QB schedule helps but Lamar is priced as elite QB; use for stack context not discount.",2026-08-17,active,"FantasyPros player page lists overall ADP 33 and QB2."
adp-2026-bal-zay-flowers-fp-mock-001,wl-2026-sos-bal-wr-001,Baltimore Ravens,BAL,2026,Zay Flowers,WR,fantasypros-2026-adp,standard,redraft_1qb,36.65,16,,,round_4,"Early WR SOS rank 2 makes Flowers a schedule-supported target if route share stays concentrated.",2026-08-17,active,"FantasyPros mock WR ADP snippet lists Zay Flowers WR16 average pick 36.65."
adp-2026-sf-george-kittle-fp-001,wl-2026-sos-sf-te-001,San Francisco 49ers,SF,2026,George Kittle,TE,fantasypros-2026-adp,half_ppr,redraft_1qb,95,9,,,round_8,"Early TE schedule makes Kittle appealing if Achilles status clears; playoff SOS caution remains.",2026-08-17,active,"FantasyPros ADP page lists half-PPR overall 95 TE9; PPR overall 93 TE9."
adp-2026-sf-george-kittle-fsp-001,wl-2026-sos-sf-te-001,San Francisco 49ers,SF,2026,George Kittle,TE,fantasysp-2026-adp,unspecified,redraft_1qb,101.8,12,,,round_8_9,"Secondary source shows a slightly cheaper TE price and injury discount.",2026-08-17,active,"FantasySP lists Kittle ADP 101.8 and TE projected rank 12."
adp-2026-mia-devon-achane-beatadp-001,wl-2026-sos-mia-wr-001,Miami Dolphins,MIA,2026,De'Von Achane,RB,beatadp-2026-platform,unspecified,redraft_1qb,14.5,,,"RB7 area",round_2,"Not a WR row but useful Dolphins market context; Dolphins skill players are expensive despite hard schedule.",2026-08-17,active,"BeatADP table lists Achane consensus 14.5."
adp-2026-mia-devon-achane-fp-vbd-001,wl-2026-sos-mia-wr-001,Miami Dolphins,MIA,2026,De'Von Achane,RB,fantasypros-2026-rankings,ppr,redraft_1qb,6,7,5,7,round_1,"Dolphins premium backs need separate caution because early WR cold-start does not directly map to RB value.",2026-08-17,active,"FantasyPros PPR VBD RB page lists Achane rank 5 RB7 ADP 6."
adp-2026-buf-james-cook-beatadp-001,wl-2026-sos-buf-rb-001,Buffalo Bills,BUF,2026,James Cook III,RB,beatadp-2026-platform,unspecified,redraft_1qb,14.6,,,"RB6_9 area",round_2,"Early RB cold-start risk matters because Cook is expensive; avoid panic if role is strong.",2026-08-17,active,"BeatADP table lists James Cook consensus 14.6."
adp-2026-buf-james-cook-fp-vbd-001,wl-2026-sos-buf-rb-001,Buffalo Bills,BUF,2026,James Cook III,RB,fantasypros-2026-rankings,ppr,redraft_1qb,5,9,9,9,round_1,"FantasyPros PPR pricing is even more aggressive; early cold-start risk should be tracked closely.",2026-08-17,active,"FantasyPros PPR VBD RB page lists James Cook rank 9 RB9 ADP 5."
adp-2026-kc-kenneth-walker-fp-vbd-001,wl-2026-sos-kc-rb-001,Kansas City Chiefs,KC,2026,Kenneth Walker III,RB,fantasypros-2026-rankings,standard,redraft_1qb,22,,18,15,round_2_3,"Early RB cold-start and Week 5 bye make patience important if Walker holds lead role.",2026-08-17,active,"FantasyPros standard VBD page lists Kenneth Walker III rank 18 RB15 ADP 22."
