team,abbr,season,position,scoring_format,window,games_included,metric_family,metric_name,rank_direction,early_rank,avg_opponent_rank,source_id,last_verified,interpretation,status,notes
Los Angeles Rams,LAR,2026,RB,unspecified,first_5_played_games,"W1 SF; W2 NYG; W3 DEN; W4 PHI; W5 BUF",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,8,13.4,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Buffalo Bills,BUF,2026,RB,unspecified,first_5_played_games,"W1 HOU; W2 DET; W3 LAC; W4 NE; W5 LAR",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,1,26.4,athlon-2026-fantasy-sos,2026-08-17,toughest,active,"Early cold-start risk."
Denver Broncos,DEN,2026,RB,unspecified,first_5_played_games,"W1 KC; W2 JAX; W3 LAR; W4 SF; W5 LAC",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,2,23.6,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Las Vegas Raiders,LV,2026,RB,unspecified,first_5_played_games,"W1 MIA; W2 LAC; W3 NO; W4 KC; W5 NE",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,3,22.4,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Kansas City Chiefs,KC,2026,RB,unspecified,first_5_played_games,"W1 DEN; W2 IND; W3 MIA; W4 LV; W6 LAC",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,4,20.8,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Week 5 bye; first five played games include Week 6."
New England Patriots,NE,2026,RB,unspecified,first_5_played_games,"W1 SEA; W2 PIT; W3 JAX; W4 BUF; W5 LV",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,5,20.6,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
New York Giants,NYG,2026,WR,unspecified,first_5_played_games,"W1 DAL; W2 LAR; W3 TEN; W4 ARI; W5 WAS",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,1,7.4,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Baltimore Ravens,BAL,2026,WR,unspecified,first_5_played_games,"W1 IND; W2 NO; W3 DAL; W4 TEN; W5 ATL",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,2,8.0,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Philadelphia Eagles,PHI,2026,WR,unspecified,first_5_played_games,"W1 WAS; W2 TEN; W3 CHI; W4 LAR; W5 JAX",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,3,8.6,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
New York Jets,NYJ,2026,WR,unspecified,first_5_played_games,"W1 TEN; W2 GB; W3 DET; W4 CHI; W5 CLE",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,4,12.0,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early schedule is better than full-season WR SOS red flag."
Dallas Cowboys,DAL,2026,WR,unspecified,first_5_played_games,"W1 NYG; W2 WAS; W3 BAL; W4 HOU; W5 TB",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,5,12.6,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
New Orleans Saints,NO,2026,WR,unspecified,first_5_played_games,"W1 DET; W2 BAL; W3 LV; W4 ATL; W5 MIN",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,6,12.6,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Houston Texans,HOU,2026,WR,unspecified,first_5_played_games,"W1 BUF; W2 CIN; W3 IND; W4 DAL; W5 TEN",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,7,13.0,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Indianapolis Colts,IND,2026,WR,unspecified,first_5_played_games,"W1 BAL; W2 KC; W3 HOU; W4 WAS; W5 PIT",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,8,13.4,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Jacksonville Jaguars,JAX,2026,WR,unspecified,first_5_played_games,"W1 CLE; W2 KC; W3 NE; W4 CIN; W5 PHI",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,1,25.8,athlon-2026-fantasy-sos,2026-08-17,toughest,active,"Early cold-start risk."
Chicago Bears,CHI,2026,WR,unspecified,first_5_played_games,"W1 CAR; W2 MIN; W3 PHI; W4 NYJ; W5 GB",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,2,22.8,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Miami Dolphins,MIA,2026,WR,unspecified,first_5_played_games,"W1 LV; W2 SF; W3 KC; W4 MIN; W5 CIN",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,3,21.8,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Los Angeles Chargers,LAC,2026,WR,unspecified,first_5_played_games,"W1 ARI; W2 LV; W3 BUF; W4 SEA; W5 DEN",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,4,21.8,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Tampa Bay Buccaneers,TB,2026,WR,unspecified,first_5_played_games,"W1 CIN; W2 CLE; W3 MIN; W4 GB; W5 DAL",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,5,21.4,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Cincinnati Bengals,CIN,2026,TE,unspecified,first_5_played_games,"W1 TB; W2 HOU; W3 PIT; W4 JAX; W5 MIA",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,1,8.4,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Cleveland Browns,CLE,2026,TE,unspecified,first_5_played_games,"W1 JAX; W2 TB; W3 CAR; W4 PIT; W5 NYJ",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,2,8.4,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
San Francisco 49ers,SF,2026,TE,unspecified,first_5_played_games,"W1 LAR; W2 MIA; W3 ARI; W4 DEN; W5 SEA",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,3,10.0,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Seattle Seahawks,SEA,2026,TE,unspecified,first_5_played_games,"W1 NE; W2 ARI; W3 WAS; W4 LAC; W5 SF",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,4,11.4,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
New York Giants,NYG,2026,TE,unspecified,first_5_played_games,"W1 DAL; W2 LAR; W3 TEN; W4 ARI; W5 WAS",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,5,12.0,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
New Orleans Saints,NO,2026,TE,unspecified,first_5_played_games,"W1 DET; W2 BAL; W3 LV; W4 ATL; W5 MIN",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,1,25.0,athlon-2026-fantasy-sos,2026-08-17,toughest,active,"Early cold-start risk."
Los Angeles Rams,LAR,2026,TE,unspecified,first_5_played_games,"W1 SF; W2 NYG; W3 DEN; W4 PHI; W5 BUF",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,2,22.4,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Carolina Panthers,CAR,2026,TE,unspecified,first_5_played_games,"W1 CHI; W2 ATL; W3 CLE; W4 DET; W6 PHI",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,3,22.2,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Week 5 bye; first five played games include Week 6."
Tennessee Titans,TEN,2026,TE,unspecified,first_5_played_games,"W1 NYJ; W2 PHI; W3 NYG; W4 BAL; W5 HOU",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,4,21.8,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Chicago Bears,CHI,2026,TE,unspecified,first_5_played_games,"W1 CAR; W2 MIN; W3 PHI; W4 NYJ; W5 GB",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,5,20.8,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Miami Dolphins,MIA,2026,DST,unspecified,first_5_played_games,"W1 LV; W2 SF; W3 KC; W4 MIN; W5 CIN",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,1,8.2,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Early streaming/DST target; lower opponent rank is easier in Athlon methodology."
Las Vegas Raiders,LV,2026,DST,unspecified,first_5_played_games,"W1 MIA; W2 LAC; W3 NO; W4 KC; W5 NE",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,2,10.2,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early streaming/DST target; lower opponent rank is easier in Athlon methodology."
Pittsburgh Steelers,PIT,2026,DST,unspecified,first_5_played_games,"W1 ATL; W2 NE; W3 CIN; W4 CLE; W5 IND",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,3,10.6,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early streaming/DST target; lower opponent rank is easier in Athlon methodology."
New Orleans Saints,NO,2026,DST,unspecified,first_5_played_games,"W1 DET; W2 BAL; W3 LV; W4 ATL; W5 MIN",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,4,11.6,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early streaming/DST target; lower opponent rank is easier in Athlon methodology."
Detroit Lions,DET,2026,DST,unspecified,first_5_played_games,"W1 NO; W2 BUF; W3 NYJ; W4 CAR; W5 ARI",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,5,12.4,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early streaming/DST target; lower opponent rank is easier in Athlon methodology."
Los Angeles Rams,LAR,2026,DST,unspecified,first_5_played_games,"W1 SF; W2 NYG; W3 DEN; W4 PHI; W5 BUF",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,1,22.8,athlon-2026-fantasy-sos,2026-08-17,toughest,active,"Early DST cold-start risk."
Cincinnati Bengals,CIN,2026,DST,unspecified,first_5_played_games,"W1 TB; W2 HOU; W3 PIT; W4 JAX; W5 MIA",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,2,21.6,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early DST cold-start risk."
Carolina Panthers,CAR,2026,DST,unspecified,first_5_played_games,"W1 CHI; W2 ATL; W3 CLE; W4 DET; W6 PHI",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,3,20.8,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Week 5 bye; first five played games include Week 6."
Minnesota Vikings,MIN,2026,DST,unspecified,first_5_played_games,"W1 GB; W2 CHI; W3 TB; W4 MIA; W5 NO",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,4,20.6,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early DST cold-start risk."
Indianapolis Colts,IND,2026,DST,unspecified,first_5_played_games,"W1 BAL; W2 KC; W3 HOU; W4 WAS; W5 PIT",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,5,20.2,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early DST cold-start risk."
